Start,End,Condition,Num,Id
3.336,3.3457000000476835,2,4,0,ishibashi
3.3457000000476835,4.746299999952316,2,4,5,ishibashi
4.746299999952316,181.1484000000954,2,4,0,ishibashi
181.1484000000954,181.4214000000954,2,4,1,ishibashi
181.4214000000954,287.24310000014304,2,4,0,ishibashi
287.24310000014304,287.7785,2,4,5,ishibashi
287.7785,385.9839000000954,2,4,0,ishibashi
385.9839000000954,386.5472999999523,2,4,1,ishibashi
386.5472999999523,437.90000000000003,2,4,0,ishibashi
437.90000000000003,438.43190000009537,2,4,5,ishibashi
