Start,End,Condition,Num,Text
13.328,14.202799999952315,1,0,はいおしまい,konishi
18.5195,19.461799999952316,1,0,靴下,konishi
23.993299999952313,25.980199999928473,1,0,靴下は靴下 だもんな,konishi
32.17509999990463,33.40989999997616,1,0,されるわ,konishi
34.54679999995231,37.14139999997616,1,0,別れてくわ,konishi
46.95319999992847,49.45139999997616,1,0,いいねされてるわ,konishi
85.78939999997615,86.91119999992847,1,0,ままままま,konishi
117.19769999992847,118.14309999990463,1,0,体操着とかの あの,konishi
119.45279999995232,121.08699999999999,1,0,縛るやつ,konishi
148.47629999995232,149.02259999990463,1,0,畑,konishi
150.15889999997614,151.67269999992848,1,0,呆れそうなものを,konishi
152.96459999990464,154.73089999997615,1,0,また 危ないものを,konishi
262.961,264.4802999999523,1,0,あれは,konishi
275.5132999999523,276.49379999995233,1,0,靴下,konishi
283.5230999999046,285.6910999999046,1,0,どこまでが 靴下 なんだ,konishi
287.14279999995233,288.1425,1,0,0.5,konishi
291.26739999997613,292.16069999992845,1,0,レンガ 生 靴下,konishi
316.216,317.22389999997614,1,0,筋トレ 靴下,konishi
320.9675,322.0930999999046,1,0,靴下,konishi
329.91609999990465,331.90889999997614,1,0,やっぱり 結局ね,konishi
360.1665,361.39119999992846,1,0,砂詰めてね,konishi
395.8545,398.1917999999523,1,0,長い棒の先に付けてね,konishi
409.29239999997617,411.1480999999046,1,0,本当に苦しむのは誰なんだろうな,konishi
449.96789999997617,450.4635,1,0,終わりだ,konishi
