Start,End,Condition,Num,Id
11.162,12.154600000023843,1,5,0,tamura
12.154600000023843,12.233700000017881,1,5,1,tamura
12.233700000017881,12.347300000011922,1,5,0,tamura
12.347300000011922,13.316500000000001,1,5,1,tamura
13.316500000000001,13.524600000023842,1,5,0,tamura
13.524600000023842,15.021400000005961,1,5,1,tamura
15.021400000005961,19.437800000011922,1,5,0,tamura
19.437800000011922,20.701100000023843,1,5,1,tamura
20.701100000023843,25.534600000023843,1,5,0,tamura
25.534600000023843,27.001800000011922,1,5,1,tamura
27.001800000011922,28.278,1,5,2,tamura
28.278,28.409600000023843,1,5,1,tamura
28.409600000023843,28.474400000005964,1,5,2,tamura
28.474400000005964,28.53290000000596,1,5,1,tamura
28.53290000000596,28.587000000000003,1,5,2,tamura
28.587000000000003,29.09510000002384,1,5,1,tamura
29.09510000002384,29.78630000001192,1,5,2,tamura
29.78630000001192,29.866,1,5,1,tamura
29.866,34.98090000000596,1,5,0,tamura
34.98090000000596,35.46330000001192,1,5,1,tamura
35.46330000001192,38.58790000000596,1,5,2,tamura
38.58790000000596,39.30180000001192,1,5,1,tamura
39.30180000001192,43.91170000001788,1,5,2,tamura
43.91170000001788,44.0405,1,5,1,tamura
44.0405,44.5725,1,5,0,tamura
44.5725,44.72780000001192,1,5,1,tamura
44.72780000001192,45.0485,1,5,2,tamura
45.0485,45.23810000002384,1,5,1,tamura
45.23810000002384,47.85780000001192,1,5,0,tamura
47.85780000001192,48.28370000001788,1,5,5,tamura
48.28370000001788,49.67180000001192,1,5,0,tamura
49.67180000001192,50.22070000001788,1,5,5,tamura
50.22070000001788,51.2905,1,5,4,tamura
51.2905,51.71420000001788,1,5,5,tamura
51.71420000001788,52.435,1,5,4,tamura
52.435,53.39940000000596,1,5,5,tamura
53.39940000000596,54.23370000001788,1,5,0,tamura
54.23370000001788,54.647999999999996,1,5,5,tamura
54.647999999999996,55.08010000002384,1,5,0,tamura
55.08010000002384,55.164,1,5,5,tamura
55.164,57.76620000001788,1,5,0,tamura
57.76620000001788,57.98240000000596,1,5,5,tamura
57.98240000000596,58.86910000002384,1,5,0,tamura
58.86910000002384,58.93440000000596,1,5,5,tamura
58.93440000000596,61.39440000000596,1,5,0,tamura
61.39440000000596,62.89020000001788,1,5,5,tamura
62.89020000001788,69.40730000001193,1,5,0,tamura
69.40730000001193,70.38180000001192,1,5,5,tamura
70.38180000001192,70.54310000002384,1,5,0,tamura
70.54310000002384,71.54120000001788,1,5,1,tamura
71.54120000001788,75.14830000001193,1,5,0,tamura
75.14830000001193,77.41480000001192,1,5,5,tamura
77.41480000001192,86.08510000002384,1,5,0,tamura
86.08510000002384,86.67360000002385,1,5,5,tamura
86.67360000002385,88.87960000002384,1,5,0,tamura
88.87960000002384,90.18380000001193,1,5,2,tamura
90.18380000001193,90.33560000002385,1,5,1,tamura
90.33560000002385,97.55070000001788,1,5,0,tamura
97.55070000001788,98.01510000002385,1,5,1,tamura
98.01510000002385,98.42780000001193,1,5,0,tamura
98.42780000001193,100.07350000000001,1,5,5,tamura
100.07350000000001,100.45310000002385,1,5,0,tamura
100.45310000002385,100.5385,1,5,5,tamura
100.5385,103.77390000000597,1,5,0,tamura
103.77390000000597,112.45730000001193,1,5,1,tamura
112.45730000001193,116.10980000001193,1,5,0,tamura
116.10980000001193,117.5595,1,5,1,tamura
117.5595,117.75690000000597,1,5,0,tamura
117.75690000000597,117.99110000002385,1,5,1,tamura
117.99110000002385,118.09680000001192,1,5,0,tamura
118.09680000001192,118.2025,1,5,1,tamura
118.2025,123.74980000001193,1,5,0,tamura
123.74980000001193,123.89860000002385,1,5,5,tamura
123.89860000002385,123.96950000000001,1,5,4,tamura
123.96950000000001,124.05000000000001,1,5,5,tamura
124.05000000000001,124.25240000000596,1,5,4,tamura
124.25240000000596,124.75370000001789,1,5,5,tamura
124.75370000001789,124.99480000001192,1,5,4,tamura
124.99480000001192,125.60600000000001,1,5,3,tamura
125.60600000000001,125.68900000000001,1,5,5,tamura
125.68900000000001,126.29,1,5,0,tamura
126.29,127.16540000000596,1,5,1,tamura
127.16540000000596,128.90790000000595,1,5,0,tamura
128.90790000000595,129.02130000001193,1,5,5,tamura
129.02130000001193,130.47490000000596,1,5,0,tamura
130.47490000000596,130.55030000001193,1,5,1,tamura
130.55030000001193,130.721,1,5,0,tamura
130.721,130.81420000001788,1,5,1,tamura
130.81420000001788,132.30860000002383,1,5,0,tamura
132.30860000002383,132.8592000000179,1,5,1,tamura
132.8592000000179,133.16890000000595,1,5,0,tamura
133.16890000000595,134.62890000000596,1,5,1,tamura
134.62890000000596,135.93990000000596,1,5,0,tamura
135.93990000000596,136.12880000001192,1,5,1,tamura
136.12880000001192,136.2075,1,5,2,tamura
136.2075,137.76310000002385,1,5,1,tamura
137.76310000002385,138.24530000001192,1,5,0,tamura
138.24530000001192,138.24910000002384,1,5,1,tamura
138.24910000002384,138.4068000000119,1,5,0,tamura
138.4068000000119,138.58590000000595,1,5,1,tamura
138.58590000000595,138.69420000001787,1,5,0,tamura
138.69420000001787,138.8045,1,5,1,tamura
138.8045,139.57110000002385,1,5,0,tamura
139.57110000002385,139.78020000001789,1,5,1,tamura
139.78020000001789,140.202,1,5,0,tamura
140.202,140.95610000002384,1,5,5,tamura
140.95610000002384,148.2245,1,5,0,tamura
148.2245,150.7365,1,5,5,tamura
150.7365,151.41580000001193,1,5,0,tamura
151.41580000001193,151.51980000001194,1,5,5,tamura
151.51980000001194,155.39010000002384,1,5,0,tamura
155.39010000002384,156.144,1,5,1,tamura
156.144,158.38730000001192,1,5,0,tamura
158.38730000001192,159.02860000002386,1,5,5,tamura
159.02860000002386,159.8457000000179,1,5,4,tamura
159.8457000000179,160.97270000001788,1,5,5,tamura
160.97270000001788,161.2067000000179,1,5,0,tamura
161.2067000000179,161.43830000001194,1,5,5,tamura
161.43830000001194,161.52090000000598,1,5,0,tamura
161.52090000000598,161.85370000001788,1,5,5,tamura
161.85370000001788,162.1575,1,5,0,tamura
162.1575,163.64920000001788,1,5,5,tamura
163.64920000001788,164.7172000000179,1,5,0,tamura
164.7172000000179,165.57620000001788,1,5,5,tamura
165.57620000001788,166.576,1,5,0,tamura
166.576,166.65330000001194,1,5,5,tamura
166.65330000001194,167.05,1,5,4,tamura
167.05,167.1395,1,5,5,tamura
167.1395,167.22590000000596,1,5,4,tamura
167.22590000000596,167.9215,1,5,5,tamura
167.9215,169.427,1,5,0,tamura
169.427,169.62080000001194,1,5,1,tamura
169.62080000001194,170.3302000000179,1,5,2,tamura
170.3302000000179,170.41400000000002,1,5,1,tamura
170.41400000000002,171.50830000001193,1,5,0,tamura
171.50830000001193,172.91750000000002,1,5,1,tamura
172.91750000000002,176.1497000000179,1,5,0,tamura
176.1497000000179,177.85540000000597,1,5,1,tamura
177.85540000000597,178.41980000001192,1,5,0,tamura
178.41980000001192,178.5277000000179,1,5,1,tamura
178.5277000000179,178.76010000002384,1,5,0,tamura
178.76010000002384,179.93180000001192,1,5,1,tamura
179.93180000001192,180.10930000001193,1,5,0,tamura
180.10930000001193,180.762,1,5,1,tamura
180.762,186.487,1,5,0,tamura
186.487,186.5662000000179,1,5,5,tamura
186.5662000000179,186.71290000000596,1,5,0,tamura
186.71290000000596,186.78210000002386,1,5,5,tamura
186.78210000002386,193.27530000001192,1,5,0,tamura
193.27530000001192,193.3623000000119,1,5,1,tamura
193.3623000000119,201.52800000000002,1,5,0,tamura
201.52800000000002,202.07500000000002,1,5,1,tamura
202.07500000000002,202.961,1,5,2,tamura
202.961,206.011,1,5,1,tamura
206.011,209.994,1,5,0,tamura
209.994,210.64110000002384,1,5,5,tamura
210.64110000002384,211.81170000001788,1,5,0,tamura
211.81170000001788,211.9735,1,5,5,tamura
211.9735,212.6117000000179,1,5,4,tamura
212.6117000000179,212.82470000001788,1,5,5,tamura
212.82470000001788,212.89600000000002,1,5,4,tamura
212.89600000000002,213.46210000002384,1,5,5,tamura
213.46210000002384,215.01810000002385,1,5,1,tamura
215.01810000002385,215.1882000000179,1,5,0,tamura
215.1882000000179,215.2617000000179,1,5,1,tamura
215.2617000000179,216.62580000001194,1,5,0,tamura
216.62580000001194,217.11190000000596,1,5,1,tamura
217.11190000000596,218.8072000000179,1,5,2,tamura
218.8072000000179,218.89190000000596,1,5,1,tamura
218.89190000000596,219.071,1,5,2,tamura
219.071,219.34300000000002,1,5,1,tamura
219.34300000000002,219.47060000002384,1,5,2,tamura
219.47060000002384,220.26210000002385,1,5,1,tamura
220.26210000002385,220.50870000001788,1,5,0,tamura
220.50870000001788,220.6748000000119,1,5,1,tamura
220.6748000000119,220.92180000001193,1,5,0,tamura
220.92180000001193,221.11100000000002,1,5,1,tamura
221.11100000000002,221.27,1,5,0,tamura
221.27,221.46640000000596,1,5,1,tamura
221.46640000000596,222.21610000002386,1,5,0,tamura
222.21610000002386,222.60060000002386,1,5,1,tamura
222.60060000002386,223.38410000002384,1,5,0,tamura
223.38410000002384,225.6317000000179,1,5,5,tamura
225.6317000000179,225.78860000002385,1,5,0,tamura
225.78860000002385,226.32840000000596,1,5,5,tamura
226.32840000000596,226.51140000000598,1,5,0,tamura
226.51140000000598,226.7032000000179,1,5,1,tamura
226.7032000000179,228.75540000000598,1,5,0,tamura
228.75540000000598,229.3722000000179,1,5,5,tamura
229.3722000000179,229.9425,1,5,4,tamura
229.9425,230.21740000000597,1,5,2,tamura
230.21740000000597,231.33840000000598,1,5,1,tamura
231.33840000000598,231.52840000000597,1,5,0,tamura
231.52840000000597,231.62440000000598,1,5,1,tamura
231.62440000000598,235.14160000002386,1,5,0,tamura
235.14160000002386,235.65170000001788,1,5,5,tamura
235.65170000001788,237.50610000002385,1,5,0,tamura
237.50610000002385,243.61680000001192,1,5,1,tamura
243.61680000001192,245.18490000000597,1,5,0,tamura
245.18490000000597,245.45140000000598,1,5,5,tamura
245.45140000000598,245.53810000002386,1,5,0,tamura
245.53810000002386,246.72770000001788,1,5,1,tamura
246.72770000001788,247.11860000002386,1,5,0,tamura
247.11860000002386,247.4227000000179,1,5,5,tamura
247.4227000000179,250.5852000000179,1,5,0,tamura
250.5852000000179,251.57,1,5,1,tamura
251.57,253.67600000000002,1,5,2,tamura
253.67600000000002,253.7607000000179,1,5,1,tamura
253.7607000000179,253.89920000001788,1,5,2,tamura
253.89920000001788,254.20590000000595,1,5,1,tamura
254.20590000000595,257.50460000002386,1,5,0,tamura
257.50460000002386,258.02210000002384,1,5,5,tamura
258.02210000002384,261.1723000000119,1,5,0,tamura
261.1723000000119,263.95130000001194,1,5,1,tamura
263.95130000001194,265.12840000000597,1,5,0,tamura
265.12840000000597,266.5153000000119,1,5,1,tamura
266.5153000000119,267.45849999999996,1,5,0,tamura
267.45849999999996,268.1706000000238,1,5,5,tamura
268.1706000000238,268.2656000000238,1,5,4,tamura
268.2656000000238,269.30490000000594,1,5,5,tamura
269.30490000000594,269.4966000000238,1,5,0,tamura
269.4966000000238,269.8283000000119,1,5,1,tamura
269.8283000000119,276.0345,1,5,0,tamura
276.0345,276.3545,1,5,1,tamura
276.3545,276.8331000000238,1,5,2,tamura
276.8331000000238,276.9126000000238,1,5,3,tamura
276.9126000000238,276.9888000000119,1,5,4,tamura
276.9888000000119,277.0705,1,5,3,tamura
277.0705,277.8083000000119,1,5,4,tamura
277.8083000000119,278.26520000001784,1,5,3,tamura
278.26520000001784,278.4776000000238,1,5,2,tamura
278.4776000000238,279.46549999999996,1,5,1,tamura
279.46549999999996,279.53390000000593,1,5,0,tamura
279.53390000000593,279.7733000000119,1,5,1,tamura
279.7733000000119,279.85770000001787,1,5,2,tamura
279.85770000001787,284.78670000001785,1,5,1,tamura
284.78670000001785,286.1495,1,5,0,tamura
286.1495,288.1432000000179,1,5,1,tamura
288.1432000000179,288.6375,1,5,0,tamura
288.6375,289.5687000000179,1,5,1,tamura
289.5687000000179,290.3953000000119,1,5,0,tamura
290.3953000000119,291.0005,1,5,1,tamura
291.0005,291.479,1,5,0,tamura
291.479,291.88520000001785,1,5,1,tamura
291.88520000001785,292.1424000000059,1,5,0,tamura
292.1424000000059,292.7441000000238,1,5,5,tamura
292.7441000000238,307.7153000000119,1,5,0,tamura
307.7153000000119,307.92290000000594,1,5,1,tamura
307.92290000000594,308.31199999999995,1,5,0,tamura
308.31199999999995,308.77090000000595,1,5,1,tamura
308.77090000000595,312.53220000001784,1,5,0,tamura
312.53220000001784,313.8324000000059,1,5,5,tamura
313.8324000000059,314.9881000000238,1,5,0,tamura
314.9881000000238,315.11870000001784,1,5,5,tamura
315.11870000001784,315.9885,1,5,0,tamura
315.9885,317.8728000000119,1,5,5,tamura
317.8728000000119,318.82140000000595,1,5,0,tamura
318.82140000000595,319.56,1,5,5,tamura
319.56,320.3203000000119,1,5,4,tamura
