Start,End,Condition,Num,Id
4.04,6.163199999988079,1,3,0,nishikawa
6.163199999988079,6.521199999988079,1,3,5,nishikawa
6.521199999988079,16.34889999999106,1,3,0,nishikawa
16.34889999999106,16.90029999999702,1,3,5,nishikawa
16.90029999999702,18.40779999999702,1,3,0,nishikawa
18.40779999999702,19.69309999999404,1,3,5,nishikawa
19.69309999999404,20.6815,1,3,0,nishikawa
20.6815,21.06879999999702,1,3,5,nishikawa
21.06879999999702,22.15769999998808,1,3,0,nishikawa
22.15769999998808,24.59239999999106,1,3,5,nishikawa
24.59239999999106,28.87629999999702,1,3,0,nishikawa
28.87629999999702,29.01629999999702,1,3,5,nishikawa
29.01629999999702,30.878599999994037,1,3,0,nishikawa
30.878599999994037,30.89879999999702,1,3,5,nishikawa
30.89879999999702,46.21259999999404,1,3,0,nishikawa
46.21259999999404,46.642399999991056,1,3,5,nishikawa
46.642399999991056,59.25819999998808,1,3,0,nishikawa
59.25819999998808,60.44519999998808,1,3,2,nishikawa
60.44519999998808,60.875899999991056,1,3,3,nishikawa
60.875899999991056,61.64229999999702,1,3,2,nishikawa
61.64229999999702,72.51059999999404,1,3,1,nishikawa
72.51059999999404,164.925299999997,1,3,0,nishikawa
164.925299999997,165.05989999999105,1,3,5,nishikawa
165.05989999999105,178.9425,1,3,0,nishikawa
178.9425,179.297799999997,1,3,1,nishikawa
179.297799999997,179.60109999999403,1,3,0,nishikawa
179.60109999999403,185.38209999999404,1,3,1,nishikawa
185.38209999999404,185.61499999999998,1,3,0,nishikawa
185.61499999999998,186.07339999999104,1,3,1,nishikawa
186.07339999999104,245.28339999999105,1,3,0,nishikawa
245.28339999999105,247.08689999999106,1,3,5,nishikawa
247.08689999999106,328.3285999999941,1,3,0,nishikawa
328.3285999999941,328.5438999999911,1,3,5,nishikawa
328.5438999999911,397.69839999999107,1,3,0,nishikawa
397.69839999999107,397.9635,1,3,5,nishikawa
397.9635,411.7863999999911,1,3,0,nishikawa
411.7863999999911,415.6666999999881,1,3,1,nishikawa
415.6666999999881,425.40909999999405,1,3,0,nishikawa
425.40909999999405,426.0376999999881,1,3,1,nishikawa
426.0376999999881,426.37759999999406,1,3,2,nishikawa
426.37759999999406,427.4185,1,3,3,nishikawa
427.4185,429.0265,1,3,2,nishikawa
429.0265,429.28479999999706,1,3,0,nishikawa
429.28479999999706,431.89950000000005,1,3,5,nishikawa
431.89950000000005,432.0355,1,3,0,nishikawa
432.0355,432.2568999999911,1,3,5,nishikawa
432.2568999999911,432.50550000000004,1,3,0,nishikawa
432.50550000000004,432.75429999999704,1,3,5,nishikawa
432.75429999999704,433.5198999999911,1,3,0,nishikawa
433.5198999999911,433.6466999999881,1,3,5,nishikawa
433.6466999999881,433.7466999999881,1,3,0,nishikawa
433.7466999999881,434.9013999999911,1,3,5,nishikawa
434.9013999999911,435.0471999999881,1,3,0,nishikawa
435.0471999999881,435.1943999999911,1,3,5,nishikawa
435.1943999999911,435.3703999999911,1,3,0,nishikawa
435.3703999999911,435.79459999999403,1,3,5,nishikawa
435.79459999999403,435.9701999999881,1,3,0,nishikawa
435.9701999999881,436.1058999999911,1,3,5,nishikawa
436.1058999999911,442.1973999999911,1,3,0,nishikawa
442.1973999999911,442.76250000000005,1,3,5,nishikawa
