Start,End,Condition,Num,Status
-3.25,-3.241199999809265,1,1,speaker,ohyama
-3.241199999809265,0.5658000001907348,1,1,bystander,ohyama
0.5658000001907348,1.978800000190735,1,1,speaker,ohyama
1.978800000190735,4.4575,1,1,sideparticipant,ohyama
4.4575,4.858599999904632,1,1,addressee,ohyama
4.858599999904632,15.379599999904631,1,1,sideparticipant,ohyama
15.379599999904631,15.953099999904634,1,1,addressee,ohyama
15.953099999904634,19.845099999904633,1,1,sideparticipant,ohyama
19.845099999904633,20.92690000009537,1,1,speaker,ohyama
20.92690000009537,41.996,1,1,sideparticipant,ohyama
41.996,42.8285,1,1,addressee,ohyama
42.8285,59.096400000095365,1,1,sideparticipant,ohyama
59.096400000095365,59.338099999904635,1,1,addressee,ohyama
59.338099999904635,61.892400000095364,1,1,sideparticipant,ohyama
61.892400000095364,62.099500000000006,1,1,addressee,ohyama
62.099500000000006,65.02059999990463,1,1,sideparticipant,ohyama
65.02059999990463,65.91040000009536,1,1,addressee,ohyama
65.91040000009536,81.2947000002861,1,1,sideparticipant,ohyama
81.2947000002861,82.8227000002861,1,1,speaker,ohyama
82.8227000002861,110.9227000002861,1,1,sideparticipant,ohyama
110.9227000002861,114.6552000002861,1,1,bystander,ohyama
114.6552000002861,118.9785,1,1,sideparticipant,ohyama
118.9785,119.93159999990463,1,1,speaker,ohyama
119.93159999990463,126.186,1,1,sideparticipant,ohyama
126.186,128.04190000009538,1,1,speaker,ohyama
128.04190000009538,139.01459999990465,1,1,sideparticipant,ohyama
139.01459999990465,139.85,1,1,speaker,ohyama
139.85,179.51209999990462,1,1,sideparticipant,ohyama
179.51209999990462,180.0592000002861,1,1,addressee,ohyama
180.0592000002861,198.20190000009538,1,1,sideparticipant,ohyama
198.20190000009538,199.89459999990464,1,1,speaker,ohyama
199.89459999990464,200.10959999990465,1,1,sideparticipant,ohyama
200.10959999990465,200.31959999990463,1,1,addressee,ohyama
200.31959999990463,205.59570000028612,1,1,sideparticipant,ohyama
205.59570000028612,205.80640000009538,1,1,addressee,ohyama
205.80640000009538,232.9267000002861,1,1,sideparticipant,ohyama
232.9267000002861,233.24359999990463,1,1,addressee,ohyama
233.24359999990463,243.7872000002861,1,1,sideparticipant,ohyama
243.7872000002861,244.326,1,1,addressee,ohyama
244.326,244.7635,1,1,sideparticipant,ohyama
244.7635,247.37480000019073,1,1,speaker,ohyama
247.37480000019073,270.0759000000954,1,1,sideparticipant,ohyama
270.0759000000954,270.936,1,1,addressee,ohyama
270.936,285.7828000001907,1,1,sideparticipant,ohyama
285.7828000001907,287.2242000002861,1,1,speaker,ohyama
287.2242000002861,323.09380000019075,1,1,sideparticipant,ohyama
323.09380000019075,349.26959999990464,1,1,bystander,ohyama
349.26959999990464,351.03859999990465,1,1,speaker,ohyama
351.03859999990465,381.87459999990466,1,1,sideparticipant,ohyama
381.87459999990466,381.9962000002861,1,1,addressee,ohyama
381.9962000002861,413.6408000001907,1,1,sideparticipant,ohyama
413.6408000001907,413.7303000001907,1,1,bystander,ohyama
413.7303000001907,415.37740000009535,1,1,speaker,ohyama
415.37740000009535,425.94440000009536,1,1,sideparticipant,ohyama
425.94440000009536,426.6960999999046,1,1,addressee,ohyama
426.6960999999046,434.4545,1,1,sideparticipant,ohyama
434.4545,442.5565999999046,1,1,bystander,ohyama
442.5565999999046,443.6145,1,1,sideparticipant,ohyama
443.6145,444.3904000000954,1,1,speaker,ohyama
444.3904000000954,447.3537000002861,1,1,sideparticipant,ohyama
