Start,End,Condition,Num,Text
5.804799999952316,7.240099999904633,0,5,靴下 ね,sei
12.604799999952316,13.446399999976158,0,5,またね,sei
32.915099999904626,36.12119999992847,0,5,あいざという時は流れる,sei
98.42779999995231,101.74619999992848,0,5,使い古したやっと 花のあるあるだね,sei
124.24729999995232,125.17919999992849,0,5,独創的,sei
142.2857999999523,143.35889999997616,0,5,布になる,sei
155.17019999992846,156.623,0,5,周辺,sei
168.3285,169.09799999999998,0,5,靴下 か,sei
199.88339999997615,201.4387999999523,0,5,育てるもんだったっけ,sei
206.0217999999523,207.38539999997616,0,5,あーなるほどね,sei
237.32559999990463,238.1255999999046,0,5,ちょうどいい,sei
251.63059999990463,254.4292999999523,0,5,確かに カイロ 的な扱い,sei
279.6912999999523,281.13509999990464,0,5,靴下 高井田 嬉しいよね,sei
311.3971999999285,314.02589999997616,0,5,石川県ってあの 普段 書かないからさ,sei
318.7045,320.73059999990465,0,5,いつもどうやって使ってるの,sei
368.80669999992847,370.3291999999285,0,5,生かすっていうのはいいね,sei
423.37779999995234,425.16129999995235,0,5,なんでも靴下で それやってもいい話だからね,sei
442.64359999990467,443.69889999997616,0,5,鳥谷 取り出しやすくて,sei
