Start,End,Condition,Num,Text
61.743900000095365,63.18230000007153,1,5,確かに
93.94990000009535,95.09090000009536,1,5,世間 大丈夫
110.12890000009536,112.648,1,5,まあ 相場はバケツだな
118.70740000009536,119.95930000007152,1,5,なるほどね
140.6917000000477,141.75960000002382,1,5,厳しい
152.14610000002384,153.09140000009535,1,5,土鍋的な
163.9915,165.7815,1,5,ある程度 鍋として使っ
205.28890000009537,207.19830000007153,1,5,もちろん みんな
212.8415,213.86090000009537,1,5,みんな 一応 持ってるよね
215.90560000002384,216.50010000002385,1,5,どの家庭にもある
265.6932000000477,268.1778000000715,1,5,磯 フライパン として使う
289.4382000000477,293.62110000002383,1,5,お水をためるタイプは何か 全部 代用できる
333.6026000000238,334.9033000000715,1,5,なべ音
336.95140000009536,340.6338000000715,1,5,とんちだけどさ なべ っていう感じで考えると
342.2115,344.0953000000715,1,5,世の中の 渡部さんの 何だよこれ
378.45010000002384,379.4292000000477,1,5,みんな かける
409.2247000000477,410.33960000002384,1,5,煮詰まってきたね
444.74380000007153,444.9842000000477,1,5,終わりですね
