Start,End,Condition,Num,Text
2.3501000000238417,3.427300000011921,1,2,鍋の,sugiyama
6.5187000000476845,7.731400000035763,1,2,ヘルメットヘルメット,sugiyama
12.7015,14.412400000035763,1,2,ヘルメット,sugiyama
25.966,27.408900000035764,1,2,何かなあ,sugiyama
34.872700000047686,36.75930000001192,1,2,はがき ね,sugiyama
50.82630000001192,54.314600000023844,1,2,そういう経緯 もあった気もするけどな なんか,sugiyama
55.77070000004768,58.23780000001192,1,2,俺だったからボールみたいなやつで,sugiyama
66.94710000002384,68.67840000003575,1,2,なぜでしょう,sugiyama
80.1455,81.61490000003576,1,2,鍋を作れると,sugiyama
94.40260000002384,95.64960000002384,1,2,やめてますね,sugiyama
97.58749999999999,98.59320000004767,1,2,黙ってただけだ,sugiyama
107.16580000001191,109.09470000004768,1,2,廊下で立ってなさいの時に持たせるよ,sugiyama
115.95560000002384,118.94260000002383,1,2,拷問の道具として鍋近いやつ,sugiyama
127.98130000001193,129.45940000003577,1,2,筋トレってことだなんて,sugiyama
138.37590000003578,140.97580000001193,1,2,寄り切り CQC 筋トレができるっていう,sugiyama
145.89270000004768,151.40880000001192,1,2,まあそう の鍋の材質によってはまあなんか 瓦割り みたいなできるかな,sugiyama
158.94500000000002,160.3012000000477,1,2,新しい競技として,sugiyama
206.353,211.0907000000477,1,2,そこで 無視無視買うと金とかカブトムシの部屋にするとね,sugiyama
231.9412000000477,233.4797000000477,1,2,めざまし 水ってこと,sugiyama
271.1058000000119,272.65099999999995,1,2,揚げ焼きってこと,sugiyama
282.0125,284.15040000003575,1,2,花瓶 花瓶として使う,sugiyama
313.301,314.9486000000238,1,2,いたりなかったりする,sugiyama
319.4866000000238,320.726,1,2,鍋ですよ,sugiyama
354.86949999999996,355.801,1,2,文字,sugiyama
371.90740000003575,376.33349999999996,1,2,真鍋のジェイ 難しいから 統一 しちゃえばいいかもね,sugiyama
393.7655,394.89220000004764,1,2,鍋,sugiyama
412.78890000003577,414.7537000000477,1,2,鍋先に鍋炊きに,sugiyama
416.6925,420.91660000002383,1,2,ご飯入れてかないといけないのか,sugiyama
435.0902000000477,436.6045,1,2,お茶 沸かす,sugiyama
