Start,End,Condition,Num,Status
-0.74,0.02929999999701982,0,4,bystander,suzuki
0.02929999999701982,2.885,0,4,speaker,suzuki
2.885,12.03609999999404,0,4,sideparticipant,suzuki
12.03609999999404,16.2555,0,4,speaker,suzuki
16.2555,17.541,0,4,sideparticipant,suzuki
17.541,19.283799999997022,0,4,speaker,suzuki
19.283799999997022,25.7605,0,4,sideparticipant,suzuki
25.7605,27.16620000000298,0,4,speaker,suzuki
27.16620000000298,32.171099999994034,0,4,sideparticipant,suzuki
32.171099999994034,33.47779999999702,0,4,speaker,suzuki
33.47779999999702,34.594099999994036,0,4,sideparticipant,suzuki
34.594099999994036,37.618400000005956,0,4,speaker,suzuki
37.618400000005956,43.34120000000298,0,4,sideparticipant,suzuki
43.34120000000298,44.48320000000298,0,4,speaker,suzuki
44.48320000000298,50.265,0,4,sideparticipant,suzuki
50.265,51.75229999999702,0,4,speaker,suzuki
51.75229999999702,54.94279999999702,0,4,sideparticipant,suzuki
54.94279999999702,56.80420000000298,0,4,speaker,suzuki
56.80420000000298,62.1965,0,4,sideparticipant,suzuki
62.1965,63.7045,0,4,speaker,suzuki
63.7045,65.36559999999405,0,4,sideparticipant,suzuki
65.36559999999405,67.80679999999703,0,4,speaker,suzuki
67.80679999999703,78.43100000000001,0,4,sideparticipant,suzuki
78.43100000000001,78.736,0,4,addressee,suzuki
78.736,80.762,0,4,sideparticipant,suzuki
80.762,82.76590000000597,0,4,speaker,suzuki
82.76590000000597,90.40340000000596,0,4,sideparticipant,suzuki
90.40340000000596,92.38640000000596,0,4,speaker,suzuki
92.38640000000596,95.06700000000001,0,4,sideparticipant,suzuki
95.06700000000001,97.39609999999405,0,4,speaker,suzuki
97.39609999999405,104.11559999999405,0,4,sideparticipant,suzuki
104.11559999999405,104.38970000000299,0,4,addressee,suzuki
104.38970000000299,110.71720000000299,0,4,sideparticipant,suzuki
110.71720000000299,111.53479999999702,0,4,addressee,suzuki
111.53479999999702,118.10300000000001,0,4,sideparticipant,suzuki
118.10300000000001,120.58009999999405,0,4,speaker,suzuki
120.58009999999405,123.03859999999405,0,4,sideparticipant,suzuki
123.03859999999405,124.57329999999702,0,4,speaker,suzuki
124.57329999999702,128.1225,0,4,sideparticipant,suzuki
128.1225,130.26999999999998,0,4,speaker,suzuki
130.26999999999998,131.591299999997,0,4,sideparticipant,suzuki
131.591299999997,135.934799999997,0,4,speaker,suzuki
135.934799999997,137.04129999999702,0,4,sideparticipant,suzuki
137.04129999999702,139.32370000000296,0,4,speaker,suzuki
139.32370000000296,143.59529999999702,0,4,sideparticipant,suzuki
143.59529999999702,145.6735,0,4,speaker,suzuki
145.6735,151.69179999999702,0,4,sideparticipant,suzuki
151.69179999999702,152.56320000000298,0,4,addressee,suzuki
