Start,End,Condition,Num,Count,LeftHand,RightHand,Mouth,Nod,GazeSpeeker
-0.74,-0.45409999999403955,0,4,1.5,false,false,false,false,false,suzuki
-0.45409999999403955,1.5599000000059606,0,4,100,false,false,true,false,false,suzuki
1.5599000000059606,8.02870000000298,0,4,92,false,false,false,false,false,suzuki
8.02870000000298,10.38220000000298,0,4,100.5,false,false,true,false,false,suzuki
10.38220000000298,10.808599999994039,0,4,101.5,false,false,false,false,false,suzuki
10.808599999994039,11.2735,0,4,102,false,false,true,false,false,suzuki
11.2735,12.72029999999702,0,4,101.5,false,false,true,false,true,suzuki
12.72029999999702,14.48529999999702,0,4,100.5,false,false,true,false,false,suzuki
14.48529999999702,15.993599999994041,0,4,101.5,false,false,false,false,true,suzuki
15.993599999994041,16.255400000005963,0,4,102,false,false,true,false,false,suzuki
16.255400000005963,16.719799999997022,0,4,101.5,false,false,true,false,true,suzuki
16.719799999997022,28.00259999999404,0,4,100,false,false,true,false,false,suzuki
28.00259999999404,30.675299999997023,0,4,96,false,false,false,false,false,suzuki
30.675299999997023,33.2815,0,4,100,false,false,true,false,false,suzuki
33.2815,33.477700000002976,0,4,101.5,false,false,false,false,false,suzuki
33.477700000002976,33.6725,0,4,103,false,false,true,false,false,suzuki
33.6725,34.87370000000298,0,4,101.5,false,false,true,false,true,suzuki
34.87370000000298,43.34120000000298,0,4,100,false,false,true,false,false,suzuki
43.34120000000298,44.48320000000298,0,4,101.5,false,false,false,false,false,suzuki
44.48320000000298,46.391,0,4,101,false,false,true,false,false,suzuki
46.391,49.20420000000298,0,4,97.5,false,false,false,false,false,suzuki
49.20420000000298,50.26490000000596,0,4,100,false,false,true,false,false,suzuki
50.26490000000596,51.23,0,4,101.5,false,false,false,false,false,suzuki
51.23,57.615400000005955,0,4,103,false,false,true,false,false,suzuki
57.615400000005955,58.59420000000298,0,4,101.5,false,false,true,false,true,suzuki
58.59420000000298,64.83279999999702,0,4,101.5,false,false,true,false,false,suzuki
64.83279999999702,65.36550000000001,0,4,103,false,false,false,false,true,suzuki
65.36550000000001,67.52529999999703,0,4,101.5,false,false,true,false,true,suzuki
67.52529999999703,70.06129999999702,0,4,101,false,false,true,false,false,suzuki
70.06129999999702,77.67679999999703,0,4,87.5,false,false,false,false,false,suzuki
77.67679999999703,91.30220000000298,0,4,102,false,false,true,false,false,suzuki
91.30220000000298,91.85690000000596,0,4,101.5,false,false,true,false,true,suzuki
91.85690000000596,96.82040000000596,0,4,102,false,false,true,false,false,suzuki
96.82040000000596,98.49650000000001,0,4,101.5,false,false,true,false,true,suzuki
98.49650000000001,101.6195,0,4,100,false,false,true,false,false,suzuki
101.6195,115.73359999999404,0,4,74,false,false,false,false,false,suzuki
115.73359999999404,123.94940000000597,0,4,101,false,false,true,false,false,suzuki
123.94940000000597,125.51240000000597,0,4,101,false,false,false,false,false,suzuki
125.51240000000597,130.80240000000595,0,4,100,false,false,true,false,false,suzuki
130.80240000000595,131.070799999997,0,4,101,false,false,false,false,false,suzuki
131.070799999997,137.5125,0,4,100,false,false,true,false,false,suzuki
137.5125,137.749799999997,0,4,101.5,false,false,false,false,false,suzuki
137.749799999997,140.3215,0,4,102,false,false,true,false,false,suzuki
140.3215,143.073299999997,0,4,100.5,false,false,true,false,true,suzuki
143.073299999997,143.38409999999402,0,4,101.5,false,false,false,false,true,suzuki
143.38409999999402,145.0795,0,4,100,false,false,true,false,false,suzuki
145.0795,145.6735,0,4,101.5,false,false,false,false,false,suzuki
145.6735,148.82140000000595,0,4,103,false,false,true,false,false,suzuki
148.82140000000595,152.56320000000298,0,4,101.5,false,false,true,false,true,suzuki
152.56320000000298,173.051299999997,0,4,102,false,false,true,false,false,suzuki
173.051299999997,173.491299999997,0,4,101.5,false,false,true,false,true,suzuki
173.491299999997,174.60609999999403,0,4,102,false,false,true,false,false,suzuki
174.60609999999403,176.15859999999404,0,4,100.5,false,false,true,false,true,suzuki
176.15859999999404,177.86720000000298,0,4,100,false,false,false,false,true,suzuki
177.86720000000298,195.01770000000298,0,4,71.5,false,false,false,false,false,suzuki
195.01770000000298,199.44920000000297,0,4,84,false,false,true,false,false,suzuki
199.44920000000297,199.88090000000597,0,4,86.5,false,false,true,false,true,suzuki
199.88090000000597,212.67959999999402,0,4,102,false,false,true,false,false,suzuki
212.67959999999402,215.52109999999402,0,4,101.5,false,false,true,false,true,suzuki
215.52109999999402,218.03179999999702,0,4,102,false,false,true,false,false,suzuki
218.03179999999702,219.3775,0,4,101.5,false,false,true,false,true,suzuki
219.3775,226.15540000000595,0,4,100,false,false,true,false,false,suzuki
226.15540000000595,232.81420000000298,0,4,93,false,false,false,false,false,suzuki
232.81420000000298,240.23690000000596,0,4,100.5,false,false,true,false,false,suzuki
240.23690000000596,241.235299999997,0,4,101.5,false,false,true,false,true,suzuki
241.235299999997,253.31009999999404,0,4,103,false,false,true,false,false,suzuki
253.31009999999404,255.102299999997,0,4,101.5,false,false,true,false,true,suzuki
255.102299999997,257.587799999997,0,4,103,false,false,true,false,false,suzuki
257.587799999997,260.107700000003,0,4,101.5,false,false,true,false,true,suzuki
260.107700000003,260.364,0,4,101,false,false,true,false,false,suzuki
260.364,261.221,0,4,101,false,false,false,false,false,suzuki
261.221,262.62399999999997,0,4,103,false,false,true,false,false,suzuki
262.62399999999997,263.655700000003,0,4,101.5,false,false,true,false,true,suzuki
263.655700000003,264.991,0,4,103,false,false,true,false,false,suzuki
264.991,266.35820000000297,0,4,101.5,false,false,true,false,true,suzuki
266.35820000000297,271.41370000000296,0,4,103,false,false,true,false,false,suzuki
271.41370000000296,273.887,0,4,101.5,false,false,true,false,true,suzuki
273.887,275.06609999999404,0,4,100,false,false,true,false,false,suzuki
275.06609999999404,276.7765,0,4,99,false,false,false,false,false,suzuki
276.7765,283.34140000000593,0,4,100,false,false,true,false,false,suzuki
283.34140000000593,297.79540000000594,0,4,77.5,false,false,false,false,false,suzuki
297.79540000000594,308.013,0,4,103,false,false,true,false,false,suzuki
308.013,309.748,0,4,101.5,false,false,true,false,true,suzuki
309.748,320.68690000000595,0,4,101,false,false,true,false,false,suzuki
320.68690000000595,324.64920000000296,0,4,102,false,false,false,false,false,suzuki
324.64920000000296,325.599700000003,0,4,100,false,false,true,false,false,suzuki
325.599700000003,327.327299999997,0,4,98.5,false,false,false,false,false,suzuki
327.327299999997,328.183299999997,0,4,98,false,false,false,false,true,suzuki
328.183299999997,331.71870000000297,0,4,91,false,false,false,false,false,suzuki
331.71870000000297,332.875799999997,0,4,92.5,false,false,false,false,true,suzuki
332.875799999997,333.654099999994,0,4,96.5,false,false,true,false,true,suzuki
333.654099999994,339.3985,0,4,100,false,false,true,false,false,suzuki
339.3985,341.378700000003,0,4,98,false,false,false,false,false,suzuki
341.378700000003,357.23340000000593,0,4,100,false,false,true,false,false,suzuki
357.23340000000593,359.903099999994,0,4,97,false,false,false,false,false,suzuki
359.903099999994,364.35340000000593,0,4,102,false,false,true,false,false,suzuki
364.35340000000593,365.79590000000593,0,4,101.5,false,false,true,false,true,suzuki
365.79590000000593,368.64040000000597,0,4,101,false,false,true,false,false,suzuki
368.64040000000597,369.71379999999704,0,4,100.5,false,false,false,false,false,suzuki
369.71379999999704,370.07890000000594,0,4,101.5,false,false,false,false,true,suzuki
370.07890000000594,373.33629999999704,0,4,101,false,false,true,false,false,suzuki
373.33629999999704,375.049,0,4,99,false,false,false,false,false,suzuki
375.049,376.90370000000297,0,4,98.5,false,false,false,false,true,suzuki
376.90370000000297,377.451099999994,0,4,98,false,false,false,false,false,suzuki
377.451099999994,380.0475,0,4,97.5,false,false,false,false,true,suzuki
380.0475,385.88259999999406,0,4,88.5,false,false,false,false,false,suzuki
385.88259999999406,387.38240000000593,0,4,88,false,false,false,false,true,suzuki
387.38240000000593,396.79949999999997,0,4,74,false,false,false,false,false,suzuki
396.79949999999997,398.068,0,4,73.5,false,false,false,false,true,suzuki
398.068,418.10829999999703,0,4,48,false,false,false,false,false,suzuki
418.10829999999703,418.626700000003,0,4,50.5,false,false,true,false,true,suzuki
418.626700000003,422.05559999999406,0,4,100,false,false,true,false,false,suzuki
422.05559999999406,422.329099999994,0,4,100.5,false,false,false,false,false,suzuki
422.329099999994,424.782,0,4,100,false,false,false,false,true,suzuki
424.782,427.49159999999404,0,4,96.5,false,false,false,false,false,suzuki
427.49159999999404,430.103799999997,0,4,96,false,false,false,false,true,suzuki
430.103799999997,434.07440000000594,0,4,90,false,false,false,false,false,suzuki
434.07440000000594,436.22040000000595,0,4,89.5,false,false,false,false,true,suzuki
436.22040000000595,438.7935,0,4,86.5,false,false,false,false,false,suzuki
438.7935,442.40879999999703,0,4,92,false,false,true,false,false,suzuki
442.40879999999703,444.35699999999997,0,4,89,false,false,false,false,false,suzuki
444.35699999999997,446.691799999997,0,4,90.5,false,false,false,false,true,suzuki
446.691799999997,448.044299999997,0,4,96,false,false,true,false,true,suzuki
448.044299999997,452.138200000003,0,4,102,false,false,true,false,false,suzuki
452.138200000003,453.10709999999403,0,4,101.5,false,false,true,false,true,suzuki
