Start,End,Condition,Num,Text
-4.78,-2.8970000000000002,2,4,そっちでしょ はい,suzuki
7.7475,9.68039999999106,2,4,レンガ 家,suzuki
22.54919999998808,24.563,2,4,一般的に広く使われてる予報ですね,suzuki
31.25829999999702,32.05989999999106,2,4,ガソリンカー,suzuki
36.42129999999702,37.80539999999106,2,4,パークサンド,suzuki
40.128,41.5395,2,4,恋歌,suzuki
45.32929999999702,47.20629999999702,2,4,10連金,suzuki
51.24959999999404,53.20509999999404,2,4,鉄分 鉄分,suzuki
67.25129999999702,67.82779999999701,2,4,AWA,suzuki
69.115,70.59789999999106,2,4,創世に書けるかな,suzuki
84.84459999999405,86.264,2,4,renage,suzuki
90.69429999999701,92.40779999999702,2,4,実寸大 進化,suzuki
97.8175,98.57369999998808,2,4,わー,suzuki
100.34389999999105,101.804,2,4,多少の遅延は,suzuki
112.49639999999106,114.49639999999106,2,4,瓦割り 好きですね,suzuki
135.751,138.92819999998807,2,4,あえて 砕いてみるとか,suzuki
142.408,144.39939999999106,2,4,栄養,suzuki
145.70859999999405,146.90009999999404,2,4,ミネラル,suzuki
148.58069999998807,149.42989999999105,2,4,なあ,suzuki
152.41459999999404,153.458,2,4,あーなるほどね,suzuki
170.07819999998807,171.50519999998806,2,4,レンガ,suzuki
172.8965,175.16009999999403,2,4,勝手にてるけどやっぱジェンガはレンガをもとにしていた,suzuki
179.47809999999404,182.09609999999404,2,4,これは話はそれましたね,suzuki
186.39559999999403,187.69959999999404,2,4,住信,suzuki
228.05969999998808,232.16779999999702,2,4,麻雀 レンガ ね 進化じゃなくて LINE がね,suzuki
237.43809999999405,238.8135,2,4,レンガ,suzuki
283.15979999999706,285.89329999999705,2,4,結局 電源が2匹着する,suzuki
297.8183999999911,300.2551999999881,2,4,新しいやつは 女,suzuki
306.0500999999941,309.38229999999703,2,4,お家帰って,suzuki
311.3605,313.00750000000005,2,4,画材 新しい画材,suzuki
314.8446999999881,317.07309999999404,2,4,上高,suzuki
318.2781999999881,320.96000000000004,2,4,第3 第4 第5の選択肢,suzuki
333.08450000000005,338.67929999999706,2,4,蜂の新しい画材だ,suzuki
345.4025999999941,346.8543999999911,2,4,重いなあ,suzuki
350.94709999999407,352.0516999999881,2,4,箱根,suzuki
356.44329999999707,357.8641999999881,2,4,うまいこといった,suzuki
393.935,395.0693999999911,2,4,自分で壊さないと見れないんだよな,suzuki
396.4370999999941,397.7113999999911,2,4,業者さん,suzuki
403.0331999999881,404.9451999999881,2,4,逸脱してない,suzuki
422.02959999999405,424.026799999997,2,4,あーなレンガ 蘭子 軍手,suzuki
431.75719999998813,433.793,2,4,新しい新しい単位が生まれるって事,suzuki
444.466,445.8181999999881,2,4,ってことね,suzuki
448.324799999997,450.454799999997,2,4,レンガ 元気元気元気ですね,suzuki
453.0723999999911,454.81329999999707,2,4,1 m 元気みたいな,suzuki
